"ym","品目分類","市区町村コード","市","項目","value"
"201901","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",367
"201901","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",123
"201901","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",7
"201901","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",1
"201901","米","36201","徳島市","支出金額_複数単位",1138
"201901","米","36201","徳島市","購入頻度_100世帯当たり",53
"201901","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",399
"201901","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",131
"201901","殺虫・防虫剤","37201","高松市","支出金額_複数単位",54
"201901","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",9
"201901","米","37201","高松市","支出金額_複数単位",609
"201901","米","37201","高松市","購入頻度_100世帯当たり",30
"201901","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",308
"201901","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",104
"201901","殺虫・防虫剤","38201","松山市","支出金額_複数単位",17
"201901","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",2
"201901","米","38201","松山市","支出金額_複数単位",1659
"201901","米","38201","松山市","購入頻度_100世帯当たり",51
"201901","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",590
"201901","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",243
"201901","殺虫・防虫剤","39201","高知市","支出金額_複数単位",18
"201901","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",4
"201901","米","39201","高知市","支出金額_複数単位",1081
"201901","米","39201","高知市","購入頻度_100世帯当たり",50
"201902","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",244
"201902","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",106
"201902","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",39
"201902","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",4
"201902","米","36201","徳島市","支出金額_複数単位",1400
"201902","米","36201","徳島市","購入頻度_100世帯当たり",61
"201902","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",370
"201902","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",137
"201902","殺虫・防虫剤","37201","高松市","支出金額_複数単位",10
"201902","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",2
"201902","米","37201","高松市","支出金額_複数単位",1147
"201902","米","37201","高松市","購入頻度_100世帯当たり",45
"201902","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",302
"201902","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",118
"201902","殺虫・防虫剤","38201","松山市","支出金額_複数単位",61
"201902","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",9
"201902","米","38201","松山市","支出金額_複数単位",1099
"201902","米","38201","松山市","購入頻度_100世帯当たり",51
"201902","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",448
"201902","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",196
"201902","殺虫・防虫剤","39201","高知市","支出金額_複数単位",45
"201902","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",6
"201902","米","39201","高知市","支出金額_複数単位",1996
"201902","米","39201","高知市","購入頻度_100世帯当たり",72
"201903","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",438
"201903","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",144
"201903","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",133
"201903","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",13
"201903","米","36201","徳島市","支出金額_複数単位",1197
"201903","米","36201","徳島市","購入頻度_100世帯当たり",56
"201903","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",345
"201903","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",140
"201903","殺虫・防虫剤","37201","高松市","支出金額_複数単位",94
"201903","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",13
"201903","米","37201","高松市","支出金額_複数単位",1153
"201903","米","37201","高松市","購入頻度_100世帯当たり",49
"201903","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",451
"201903","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",184
"201903","殺虫・防虫剤","38201","松山市","支出金額_複数単位",155
"201903","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",13
"201903","米","38201","松山市","支出金額_複数単位",1320
"201903","米","38201","松山市","購入頻度_100世帯当たり",58
"201903","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",519
"201903","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",207
"201903","殺虫・防虫剤","39201","高知市","支出金額_複数単位",80
"201903","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",11
"201903","米","39201","高知市","支出金額_複数単位",1644
"201903","米","39201","高知市","購入頻度_100世帯当たり",62
"201904","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",526
"201904","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",219
"201904","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",268
"201904","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",34
"201904","米","36201","徳島市","支出金額_複数単位",1563
"201904","米","36201","徳島市","購入頻度_100世帯当たり",71
"201904","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",672
"201904","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",264
"201904","殺虫・防虫剤","37201","高松市","支出金額_複数単位",326
"201904","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",38
"201904","米","37201","高松市","支出金額_複数単位",915
"201904","米","37201","高松市","購入頻度_100世帯当たり",46
"201904","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",637
"201904","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",215
"201904","殺虫・防虫剤","38201","松山市","支出金額_複数単位",293
"201904","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",36
"201904","米","38201","松山市","支出金額_複数単位",1056
"201904","米","38201","松山市","購入頻度_100世帯当たり",52
"201904","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",546
"201904","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",228
"201904","殺虫・防虫剤","39201","高知市","支出金額_複数単位",259
"201904","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",29
"201904","米","39201","高知市","支出金額_複数単位",1782
"201904","米","39201","高知市","購入頻度_100世帯当たり",69
"201905","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",695
"201905","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",300
"201905","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",468
"201905","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",56
"201905","米","36201","徳島市","支出金額_複数単位",1597
"201905","米","36201","徳島市","購入頻度_100世帯当たり",68
"201905","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",957
"201905","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",390
"201905","殺虫・防虫剤","37201","高松市","支出金額_複数単位",487
"201905","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",63
"201905","米","37201","高松市","支出金額_複数単位",1152
"201905","米","37201","高松市","購入頻度_100世帯当たり",50
"201905","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",779
"201905","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",338
"201905","殺虫・防虫剤","38201","松山市","支出金額_複数単位",598
"201905","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",77
"201905","米","38201","松山市","支出金額_複数単位",1325
"201905","米","38201","松山市","購入頻度_100世帯当たり",64
"201905","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",944
"201905","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",326
"201905","殺虫・防虫剤","39201","高知市","支出金額_複数単位",520
"201905","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",66
"201905","米","39201","高知市","支出金額_複数単位",1784
"201905","米","39201","高知市","購入頻度_100世帯当たり",75
"201906","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",1005
"201906","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",428
"201906","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",606
"201906","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",71
"201906","米","36201","徳島市","支出金額_複数単位",1463
"201906","米","36201","徳島市","購入頻度_100世帯当たり",58
"201906","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",1008
"201906","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",410
"201906","殺虫・防虫剤","37201","高松市","支出金額_複数単位",629
"201906","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",73
"201906","米","37201","高松市","支出金額_複数単位",1233
"201906","米","37201","高松市","購入頻度_100世帯当たり",54
"201906","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",837
"201906","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",299
"201906","殺虫・防虫剤","38201","松山市","支出金額_複数単位",425
