year,month,block_no,station_name,precipitation_sum_mm,temperature_average_c
2019,1,47895,徳島,15.5,7.1
2019,1,47893,高知,23.5,7.3
2019,1,47891,高松,24,6.8
2019,1,47887,松山,24.5,7.2
2019,2,47895,徳島,47.5,8.2
2019,2,47893,高知,81,9.3
2019,2,47891,高松,44,7.5
2019,2,47887,松山,81.5,8.2
2019,3,47895,徳島,84,10.8
2019,3,47893,高知,144,11.7
2019,3,47891,高松,87.5,10.2
2019,3,47887,松山,120.5,10.9
2019,4,47895,徳島,119.5,14.5
2019,4,47893,高知,207,15.5
2019,4,47891,高松,69.5,14.5
2019,4,47887,松山,75.5,14.8
2019,5,47895,徳島,190,20.2
2019,5,47893,高知,184,20.1
2019,5,47891,高松,30.5,20.6
2019,5,47887,松山,36,20.3
2019,6,47895,徳島,204,23.2
2019,6,47893,高知,385,23.1
2019,6,47891,高松,111.5,23.6
2019,6,47887,松山,156,23
2019,7,47895,徳島,266.5,25.8
2019,7,47893,高知,472.5,25.9
2019,7,47891,高松,167.5,26.5
2019,7,47887,松山,252,26.1
2019,8,47895,徳島,192.5,28
2019,8,47893,高知,280.5,27.7
2019,8,47891,高松,139.5,28.4
2019,8,47887,松山,199.5,27.8
2019,9,47895,徳島,64,26.2
2019,9,47893,高知,224,26.4
2019,9,47891,高松,64.5,26.4
2019,9,47887,松山,34.5,26.3
2019,10,47895,徳島,289,20.8
2019,10,47893,高知,400,21.9
2019,10,47891,高松,118,20.7
2019,10,47887,松山,65.5,20.7
2019,11,47895,徳島,7.5,14.2
2019,11,47893,高知,20.5,14.4
2019,11,47891,高松,24.5,13.5
2019,11,47887,松山,12.5,14.1
2019,12,47895,徳島,63,9.8
2019,12,47893,高知,116.5,10.3
2019,12,47891,高松,46.5,9.1
2019,12,47887,松山,86.5,9.7
2020,1,47895,徳島,80,8.9
2020,1,47893,高知,153,9.2
2020,1,47891,高松,56,8.4
2020,1,47887,松山,93,8.7
2020,2,47895,徳島,30,8.4
2020,2,47893,高知,99.5,9
2020,2,47891,高松,36,7.6
2020,2,47887,松山,55,8.4
2020,3,47895,徳島,82,11.3
2020,3,47893,高知,175,12.3
2020,3,47891,高松,90,11
2020,3,47887,松山,100.5,11.4
2020,4,47895,徳島,117,13.8
2020,4,47893,高知,173.5,14.4
2020,4,47891,高松,127.5,13.5
2020,4,47887,松山,161.5,13.3
2020,5,47895,徳島,103,20.4
2020,5,47893,高知,307,20.5
2020,5,47891,高松,64,20.6
2020,5,47887,松山,108,20.1
2020,6,47895,徳島,159,24.1
2020,6,47893,高知,440.5,24
2020,6,47891,高松,147.5,24.6
2020,6,47887,松山,235.5,24.2
2020,7,47895,徳島,308.5,25.7
2020,7,47893,高知,951.5,25.8
2020,7,47891,高松,284,25.8
2020,7,47887,松山,551.5,25.6
2020,8,47895,徳島,19,29.9
2020,8,47893,高知,92,29.2
2020,8,47891,高松,10,30.6
2020,8,47887,松山,10.5,29.7
2020,9,47895,徳島,303.5,25.1
2020,9,47893,高知,454.5,25.1
2020,9,47891,高松,121.5,25.5
2020,9,47887,松山,135,25.2
2020,10,47895,徳島,387.5,18.7
2020,10,47893,高知,273,19.6
2020,10,47891,高松,122,18.6
2020,10,47887,松山,116,18.8
2020,11,47895,徳島,45,14.9
2020,11,47893,高知,94.5,15.5
2020,11,47891,高松,38,14.2
2020,11,47887,松山,56.5,14.7
2020,12,47895,徳島,9.5,8.6
2020,12,47893,高知,24.5,8.7
2020,12,47891,高松,12,8
2020,12,47887,松山,39,7.9
2021,1,47895,徳島,65,5.9
2021,1,47893,高知,76,6.9
2021,1,47891,高松,46.5,5.6
2021,1,47887,松山,36.5,6.2
2021,2,47895,徳島,56,8.6
2021,2,47893,高知,82,9.6
2021,2,47891,高松,49.5,8.5
2021,2,47887,松山,69,8.9
2021,3,47895,徳島,105,12.2
2021,3,47893,高知,286,13.9
2021,3,47891,高松,51.5,12.1
2021,3,47887,松山,92,12.7
2021,4,47895,徳島,65.5,15.4
2021,4,47893,高知,252.5,15.9
2021,4,47891,高松,99,15.5
2021,4,47887,松山,103.5,15.5
2021,5,47895,徳島,141.5,19.6
2021,5,47893,高知,411,19.6
2021,5,47891,高松,140,19.8
2021,5,47887,松山,273,19.5
2021,6,47895,徳島,94.5,23.2
2021,6,47893,高知,369.5,23
2021,6,47891,高松,81.5,23.6
2021,6,47887,松山,118.5,23.4
2021,7,47895,徳島,94,27.1
2021,7,47893,高知,208,26.8
2021,7,47891,高松,100,27.7
2021,7,47887,松山,147,27.2
2021,8,47895,徳島,357.5,27.4
2021,8,47893,高知,841,27.2
2021,8,47891,高松,213.5,27.8
2021,8,47887,松山,369,27.5
2021,9,47895,徳島,224,24.9
2021,9,47893,高知,246.5,25.4
2021,9,47891,高松,179,25.1
2021,9,47887,松山,136,25
2021,10,47895,徳島,76,20.2
2021,10,47893,高知,88.5,20.8
2021,10,47891,高松,64,20
2021,10,47887,松山,29,20.1
2021,11,47895,徳島,194,13.9
2021,11,47893,高知,229.5,13.8
2021,11,47891,高松,91.5,13.4
2021,11,47887,松山,141.5,13.7
2021,12,47895,徳島,8.5,8.9
2021,12,47893,高知,30.5,8.8
2021,12,47891,高松,19.5,8.5
2021,12,47887,松山,30.5,8.8
