ym,品目分類,市区町村コード,市,項目,value
201901,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,367
201901,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,123
201901,米,36201,徳島市,支出金額_複数単位,1138
201901,米,36201,徳島市,購入頻度_100世帯当たり,53
201901,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,399
201901,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,131
201901,米,37201,高松市,支出金額_複数単位,609
201901,米,37201,高松市,購入頻度_100世帯当たり,30
201901,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,308
201901,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,104
201901,米,38201,松山市,支出金額_複数単位,1659
201901,米,38201,松山市,購入頻度_100世帯当たり,51
201901,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,590
201901,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,243
201901,米,39201,高知市,支出金額_複数単位,1081
201901,米,39201,高知市,購入頻度_100世帯当たり,50
201902,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,244
201902,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,106
201902,米,36201,徳島市,支出金額_複数単位,1400
201902,米,36201,徳島市,購入頻度_100世帯当たり,61
201902,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,370
201902,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,137
201902,米,37201,高松市,支出金額_複数単位,1147
201902,米,37201,高松市,購入頻度_100世帯当たり,45
201902,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,302
201902,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,118
201902,米,38201,松山市,支出金額_複数単位,1099
201902,米,38201,松山市,購入頻度_100世帯当たり,51
201902,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,448
201902,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,196
201902,米,39201,高知市,支出金額_複数単位,1996
201902,米,39201,高知市,購入頻度_100世帯当たり,72
202011,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,635
202011,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,207
202011,米,36201,徳島市,支出金額_複数単位,1318
202011,米,36201,徳島市,購入頻度_100世帯当たり,42
202011,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,435
202011,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,195
202011,米,37201,高松市,支出金額_複数単位,850
202011,米,37201,高松市,購入頻度_100世帯当たり,20
202011,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,524
202011,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,232
202011,米,38201,松山市,支出金額_複数単位,1516
202011,米,38201,松山市,購入頻度_100世帯当たり,62
202011,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,622
202011,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,250
202011,米,39201,高知市,支出金額_複数単位,1527
202011,米,39201,高知市,購入頻度_100世帯当たり,61
202012,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,549
202012,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,180
202012,米,36201,徳島市,支出金額_複数単位,1635
202012,米,36201,徳島市,購入頻度_100世帯当たり,65
202012,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,496
202012,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,198
202012,米,37201,高松市,支出金額_複数単位,888
202012,米,37201,高松市,購入頻度_100世帯当たり,39
202012,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,496
202012,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,185
202012,米,38201,松山市,支出金額_複数単位,1902
202012,米,38201,松山市,購入頻度_100世帯当たり,76
202012,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,472
202012,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,160
202012,米,39201,高知市,支出金額_複数単位,2040
202012,米,39201,高知市,購入頻度_100世帯当たり,76
202101,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,413
202101,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,166
202101,米,36201,徳島市,支出金額_複数単位,1478
202101,米,36201,徳島市,購入頻度_100世帯当たり,52
202101,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,413
202101,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,162
202101,米,37201,高松市,支出金額_複数単位,752
202101,米,37201,高松市,購入頻度_100世帯当たり,27
202101,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,607
202101,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,200
202101,米,38201,松山市,支出金額_複数単位,1062
202101,米,38201,松山市,購入頻度_100世帯当たり,57
202101,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,524
202101,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,192
202101,米,39201,高知市,支出金額_複数単位,2270
202101,米,39201,高知市,購入頻度_100世帯当たり,87
202102,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,365
202102,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,141
202102,米,36201,徳島市,支出金額_複数単位,943
202102,米,36201,徳島市,購入頻度_100世帯当たり,43
202102,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,298
202102,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,136
202102,米,37201,高松市,支出金額_複数単位,748
202102,米,37201,高松市,購入頻度_100世帯当たり,35
202102,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,457
202102,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,173
202102,米,38201,松山市,支出金額_複数単位,1082
202102,米,38201,松山市,購入頻度_100世帯当たり,47
202102,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,476
202102,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,220
202102,米,39201,高知市,支出金額_複数単位,1874
202102,米,39201,高知市,購入頻度_100世帯当たり,75
202103,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,389
202103,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,157
202103,米,36201,徳島市,支出金額_複数単位,1325
202103,米,36201,徳島市,購入頻度_100世帯当たり,56
202103,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,432
202103,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,160
202103,米,37201,高松市,支出金額_複数単位,740
202103,米,37201,高松市,購入頻度_100世帯当たり,34
202103,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,511
202103,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,226
202103,米,38201,松山市,支出金額_複数単位,1530
202103,米,38201,松山市,購入頻度_100世帯当たり,56
202103,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,620
202103,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,296
202103,米,39201,高知市,支出金額_複数単位,1870
202103,米,39201,高知市,購入頻度_100世帯当たり,76
202104,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,391
202104,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,173
202104,米,36201,徳島市,支出金額_複数単位,1769
202104,米,36201,徳島市,購入頻度_100世帯当たり,70
202104,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,609
202104,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,198
202104,米,37201,高松市,支出金額_複数単位,1288
202104,米,37201,高松市,購入頻度_100世帯当たり,47
202104,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,724
202104,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,282
202104,米,38201,松山市,支出金額_複数単位,1435
202104,米,38201,松山市,購入頻度_100世帯当たり,60
202104,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,641
202104,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,280
202104,米,39201,高知市,支出金額_複数単位,1565
202104,米,39201,高知市,購入頻度_100世帯当たり,72
202105,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,765
202105,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,306
202105,米,36201,徳島市,支出金額_複数単位,1189
202105,米,36201,徳島市,購入頻度_100世帯当たり,55
202105,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,902
202105,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,350
202105,米,37201,高松市,支出金額_複数単位,942
202105,米,37201,高松市,購入頻度_100世帯当たり,44
202105,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,934
202105,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,390
202105,米,38201,松山市,支出金額_複数単位,1588
202105,米,38201,松山市,購入頻度_100世帯当たり,63
202105,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,857
202105,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,315
202105,米,39201,高知市,支出金額_複数単位,1739
